開講年度	開講学期	曜日	時限	教員	科目名	授業番号	単位数	シラバスURL	科目区分	学部コード
2023	通年	他	0限	安達 久美子	助産学概論	90001	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90001.html	必修	50
2023	通年	他	0限	安達 久美子	周産期基礎学	90002	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90002.html	必修	50
2023	通年	他	0限	安達 久美子	妊娠期助産診断・技術学	90003	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90003.html	必修	50
2023	通年	他	0限	菱沼 由梨	分娩期助産診断・技術学	90004	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90004.html	必修	50
2023	通年	他	0限	菱沼 由梨	産褥期助産診断・技術学	90005	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90005.html	必修	50
2023	通年	他	0限	安達 久美子	助産技術学演習	90006	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90006.html	必修	50
2023	通年	他	0限	菱沼 由梨	ハイリスク助産診断・技術学	90007	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90007.html	必修	50
2023	通年	他	0限	安達 久美子	リプロダクティブヘルス助産学	90008	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90008.html	必修	50
2023	通年	他	0限	安達 久美子	母子保健助産学	90009	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90009.html	必修	50
2023	通年	他	0限	安達 久美子	助産管理学	90010	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90010.html	必修	50
2023	通年	他	0限	菱沼 由梨	助産学実習Ⅰ・分娩	90011	10	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90011.html	必修	50
2023	通年	他	0限	菱沼 由梨	助産学実習Ⅱ・助産所	90012	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90012.html	必修	50
2023	後期	他	0限	菱沼 由梨	助産学実習Ⅲ・産褥	90013	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90013.html	必修	50
2023	通年	他	0限	菱沼 由梨	継続事例実習	90014	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90014.html	必修	50
2023	通年	他	0限	菱沼 由梨	ウイメンズヘルス論	90015	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90015.html	必修	50
2023	通年	他	0限	安達 久美子	相談・教育・援助論	90016	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90016.html	必修	50
2023	後期	月	1限	菱沼 由梨	助産実践と科学的根拠	90017	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/1/2023_50_90017.html	必修	50
2023	後期	他	0限	白井千晶	母性の社会心理	90018	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90018.html	必修(選択)	50
2023	通年	他	0限	安達 久美子	地域連携実践論	90019	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90019.html	必修（選択）	50
2023	通年	他	0限	安達 久美子	助産師と専門職連携	90020	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90020.html	必修（選択）	50
2023	前期	月	1限	佐藤 亮司	AcademicEnglishI(201)	A0001	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0001.html	言語科目	0D02
2023	前期	月	1限	間瀬 裕子	AcademicEnglishI(202)	A0002	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0002.html	言語科目	0D02
2023	前期	月	1限	宮田 理奈子	AcademicEnglishI(203)	A0003	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0003.html	言語科目	0D02
2023	前期	月	1限	中村 美帆子	AcademicEnglishI(204)	A0004	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0004.html	言語科目	0D02
2023	前期	月	1限	久保田 裕紀	AcademicEnglishI(205)	A0005	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0005.html	言語科目	0D02
2023	前期	月	1限	鄧 瑩	AcademicEnglishI(206)	A0006	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0006.html	言語科目	0D02
2023	前期	月	1限	宇佐 教子	AcademicEnglishI(207)	A0007	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0007.html	言語科目	0D02
2023	前期	月	1限	藤田 葵	AcademicEnglishI(208)	A0008	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0008.html	言語科目	0D02
2023	前期	月	1限	赤塚 敬子	AcademicEnglishI(209)	A0009	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0009.html	言語科目	0D02
2023	前期	月	1限	鈴木 美徳	AcademicEnglishI(210)	A0010	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0010.html	言語科目	0D02
2023	前期	月	1限	NSE	実践英語IIc(301)	A0011	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0011.html	言語科目	0D02
2023	前期	月	1限	NSE	実践英語IIc(302)	A0012	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0012.html	言語科目	0D02
2023	前期	月	1限	NSE	実践英語IIc(303)	A0013	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0013.html	言語科目	0D02
2023	前期	月	1限	NSE	実践英語IIc(304)	A0014	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0014.html	言語科目	0D02
2023	前期	月	1限	NSE	実践英語IIc(305)	A0015	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0015.html	言語科目	0D02
2023	前期	月	1限	NSE	実践英語IIc(306)	A0016	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0016.html	言語科目	0D02
2023	前期	月	1限	NSE	実践英語IIc(307)	A0017	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0017.html	言語科目	0D02
2023	前期	月	1限	NSE	実践英語IIc(308)	A0018	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0018.html	言語科目	0D02
2023	前期	月	1限	NSE	実践英語IIc(309)	A0019	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0019.html	言語科目	0D02
2023	前期	月	1限	NSE	実践英語IIc(310)	A0020	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0020.html	言語科目	0D02
2023	前期	月	1限	NSE	実践英語IIc(311)	A0021	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0021.html	言語科目	0D02
2023	後期	月	1限	中谷 早苗	AcademicEnglishII(201)	A0024	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0024.html	言語科目	0D02
2023	後期	月	1限	間瀬 裕子	AcademicEnglishII(202)	A0025	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0025.html	言語科目	0D02
2023	後期	月	1限	宮田 理奈子	AcademicEnglishII(203)	A0026	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0026.html	言語科目	0D02
2023	後期	月	1限	中村 美帆子	AcademicEnglishII(204)	A0027	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0027.html	言語科目	0D02
2023	後期	月	1限	久保田 裕紀	AcademicEnglishII(205)	A0028	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0028.html	言語科目	0D02
2023	後期	月	1限	鄧 瑩	AcademicEnglishII(206)	A0029	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0029.html	言語科目	0D02
2023	後期	月	1限	宇佐 教子	AcademicEnglishII(207)	A0030	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0030.html	言語科目	0D02
2023	後期	月	1限	藤田 葵	AcademicEnglishII(208)	A0031	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0031.html	言語科目	0D02
2023	後期	月	1限	赤塚 敬子	AcademicEnglishII(209)	A0032	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0032.html	言語科目	0D02
2023	後期	月	1限	鈴木 美徳	AcademicEnglishII(210)	A0033	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0033.html	言語科目	0D02
2023	後期	月	1限	NSE	実践英語IId(301)	A0034	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0034.html	言語科目	0D02
2023	後期	月	1限	NSE	実践英語IId(302)	A0035	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0035.html	言語科目	0D02
2023	後期	月	1限	NSE	実践英語IId(303)	A0036	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0036.html	言語科目	0D02
2023	後期	月	1限	NSE	実践英語IId(304)	A0037	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0037.html	言語科目	0D02
2023	後期	月	1限	NSE	実践英語IId(305)	A0038	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0038.html	言語科目	0D02
2023	後期	月	1限	NSE	実践英語IId(306)	A0039	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0039.html	言語科目	0D02
2023	後期	月	1限	NSE	実践英語IId(307)	A0040	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0040.html	言語科目	0D02
2023	後期	月	1限	NSE	実践英語IId(308)	A0041	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0041.html	言語科目	0D02
2023	後期	月	1限	NSE	実践英語IId(309)	A0042	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0042.html	言語科目	0D02
2023	後期	月	1限	NSE	実践英語IId(310)	A0043	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0043.html	言語科目	0D02
2023	後期	月	1限	NSE	実践英語IId(311)	A0044	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0044.html	言語科目	0D02
2023	前期	月	2限	中谷 早苗	AcademicEnglishI(601)	A0047	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0047.html	言語科目	0D02
2023	前期	月	2限	間瀬 裕子	AcademicEnglishI(602)	A0048	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0048.html	言語科目	0D02
2023	前期	月	2限	宮田 理奈子	AcademicEnglishI(603)	A0049	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0049.html	言語科目	0D02
2023	前期	月	2限	中村 美帆子	AcademicEnglishI(604)	A0050	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0050.html	言語科目	0D02
2023	前期	月	2限	久保田 裕紀	AcademicEnglishI(605)	A0051	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0051.html	言語科目	0D02
2023	前期	月	2限	鄧 瑩	AcademicEnglishI(606)	A0052	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0052.html	言語科目	0D02
2023	前期	月	2限	宇佐 教子	AcademicEnglishI(607)	A0053	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0053.html	言語科目	0D02
2023	前期	月	2限	藤田 葵	AcademicEnglishI(608)	A0054	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0054.html	言語科目	0D02
2023	前期	金	1限	袖野 浩美	AcademicEnglishI(609)	A0055	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0055.html	言語科目	0D02
2023	前期	金	1限	田中 拓郎	AcademicEnglishI(610)	A0056	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0056.html	言語科目	0D02
2023	前期	金	1限	中島 尚樹	AcademicEnglishI(611)	A0057	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0057.html	言語科目	0D02
2023	前期	金	1限	小林 亜紀子	AcademicEnglishI(612)	A0058	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0058.html	言語科目	0D02
2023	前期	金	1限	塩谷 幸子	AcademicEnglishI(613)	A0059	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0059.html	言語科目	0D02
2023	前期	月	2限	NSE	実践英語IIc(501)	A0060	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0060.html	言語科目	0D02
2023	前期	月	2限	NSE	実践英語IIc(502)	A0061	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0061.html	言語科目	0D02
2023	前期	月	2限	NSE	実践英語IIc(503)	A0062	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0062.html	言語科目	0D02
2023	前期	月	2限	NSE	実践英語IIc(504)	A0063	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0063.html	言語科目	0D02
2023	前期	月	2限	NSE	実践英語IIc(505)	A0064	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0064.html	言語科目	0D02
2023	前期	月	2限	NSE	実践英語IIc(506)	A0065	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0065.html	言語科目	0D02
2023	前期	金	1限	NSE	実践英語IIc(507)	A0066	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0066.html	言語科目	0D02
2023	前期	金	1限	NSE	実践英語IIc(508)	A0067	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0067.html	言語科目	0D02
2023	前期	金	1限	NSE	実践英語IIc(509)	A0068	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0068.html	言語科目	0D02
2023	前期	金	1限	NSE	実践英語IIc(510)	A0069	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0069.html	言語科目	0D02
2023	前期	月	2限	大石 晴夫	情報リテラシー実践I73	A0072	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0072.html	基礎科目群	0D01
2023	前期	月	2限	渡邊 夢良己	情報リテラシー実践I74	A0073	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0073.html	基礎科目群	0D01
2023	後期	月	2限	中谷 早苗	AcademicEnglishII(601)	A0074	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0074.html	言語科目	0D02
2023	後期	月	2限	間瀬 裕子	AcademicEnglishII(602)	A0075	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0075.html	言語科目	0D02
2023	後期	月	2限	宮田 理奈子	AcademicEnglishII(603)	A0076	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0076.html	言語科目	0D02
2023	後期	月	2限	中村 美帆子	AcademicEnglishII(604)	A0077	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0077.html	言語科目	0D02
2023	後期	月	2限	久保田 裕紀	AcademicEnglishII(605)	A0078	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0078.html	言語科目	0D02
2023	後期	月	2限	鄧 瑩	AcademicEnglishII(606)	A0079	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0079.html	言語科目	0D02
2023	後期	月	2限	宇佐 教子	AcademicEnglishII(607)	A0080	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0080.html	言語科目	0D02
2023	後期	月	2限	藤田 葵	AcademicEnglishII(608)	A0081	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0081.html	言語科目	0D02
2023	後期	金	1限	袖野 浩美	AcademicEnglishII(609)	A0082	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0082.html	言語科目	0D02
2023	後期	金	1限	田中 拓郎	AcademicEnglishII(610)	A0083	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0083.html	言語科目	0D02
2023	後期	金	1限	中島 尚樹	AcademicEnglishII(611)	A0084	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0084.html	言語科目	0D02
2023	後期	金	1限	小林 亜紀子	AcademicEnglishII(612)	A0085	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0085.html	言語科目	0D02
2023	後期	金	1限	塩谷 幸子	AcademicEnglishII(613)	A0086	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0086.html	言語科目	0D02
2023	後期	月	2限	NSE	実践英語IId(501)	A0087	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0087.html	言語科目	0D02
2023	後期	月	2限	NSE	実践英語IId(502)	A0088	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0088.html	言語科目	0D02
2023	後期	月	2限	NSE	実践英語IId(503)	A0089	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0089.html	言語科目	0D02
2023	後期	月	2限	NSE	実践英語IId(504)	A0090	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0090.html	言語科目	0D02
2023	後期	月	2限	NSE	実践英語IId(505)	A0091	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0091.html	言語科目	0D02
2023	後期	月	2限	NSE	実践英語IId(506)	A0092	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0092.html	言語科目	0D02
2023	後期	金	1限	NSE	実践英語IId(507)	A0093	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0093.html	言語科目	0D02
2023	後期	金	1限	NSE	実践英語IId(508)	A0094	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0094.html	言語科目	0D02
2023	後期	金	1限	NSE	実践英語IId(509)	A0095	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0095.html	言語科目	0D02
2023	後期	金	1限	NSE	実践英語IId(510)	A0096	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D02_A0096.html	言語科目	0D02
2023	前期	木	3限	安藤 大地	情報リテラシー実践I21	A0097	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/4/2023_0D01_A0097.html	基礎科目群	0D01
2023	前期	木	3限	松村 初	情報リテラシー実践I22	A0098	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/4/2023_0D01_A0098.html	基礎科目群	0D01
2023	前期	木	3限	椛澤 恭子	情報リテラシー実践I23	A0099	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/4/2023_0D01_A0099.html	基礎科目群	0D01
2023	前期	木	3限	吉田 雅裕	情報リテラシー実践I24	A0100	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/4/2023_0D01_A0100.html	基礎科目群	0D01
2023	後期	月	3限	根元 裕樹	情報リテラシー実践ⅡＢ	A0102	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0102.html	基礎科目群	0D01
2023	前期	月	1限	中谷 早苗	実践英語Ia(801)(再履修)【南大沢】	A0104	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0104.html	言語科目	0D02
2023	集中	他	0限	木村 晶子	実践英語Ia(802)(再履修)【南大沢】	A0105	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/9/2023_0D02_A0105.html	言語科目	0D02
2023	前期	月	5限	NSE	実践英語Ic(801)(再履修)【南大沢】	A0106	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0106.html	言語科目	0D02
2023	前期	金	5限	川本 弥希	情報リテラシー実践I(再)91＜2022年度以降入学者対象＞	A0108	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D01_A0108.html	基礎科目群	0D01
2023	前期	月	5限	保前文高	基礎ゼミナール	A0109	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0109.html	基礎科目群	0D01
2023	前期	月	5限	松田 真希子	基礎ゼミナール	A0110	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0110.html	基礎科目群	0D01
2023	前期	金	5限	中村英男	基礎ゼミナール	A0111	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_0D01_A0111.html	基礎科目群	0D01
2023	前期	水	4限	稲田 奏	基礎ゼミナール	A0112	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_0D01_A0112.html	基礎科目群	0D01
2023	前期	水	4限	武居 寛史	基礎ゼミナール	A0113	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_0D01_A0113.html	基礎科目群	0D01
2023	前期	火	5限	山下 英明	基礎ゼミナール	A0114	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_0D01_A0114.html	基礎科目群	0D01
2023	前期	水	4限	室町幸雄	基礎ゼミナール	A0115	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_0D01_A0115.html	基礎科目群	0D01
2023	前期	水	4限	深谷 友宏	基礎ゼミナール	A0116	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_0D01_A0116.html	基礎科目群	0D01
2023	前期	月	5限	田沼 肇	基礎ゼミナール	A0117	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0117.html	基礎科目群	0D01
2023	前期	月	5限	セルゲイ ケトフ	基礎ゼミナール	A0118	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0118.html	基礎科目群	0D01
2023	前期	水	4限	MohamedMehawedAbdellatifSoliman	基礎ゼミナール	A0119	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_0D01_A0119.html	基礎科目群	0D01
2023	前期	月	5限	竹川 暢之	基礎ゼミナール	A0120	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0120.html	基礎科目群	0D01
2023	前期	火	5限	今村 能之	基礎ゼミナール	A0121	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_0D01_A0121.html	基礎科目群	0D01
2023	前期	月	5限	村越 潤	基礎ゼミナール	A0122	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0122.html	基礎科目群	0D01
2023	前期	水	4限	瀬高 渉	基礎ゼミナール	A0123	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_0D01_A0123.html	基礎科目群	0D01
2023	前期	月	5限	久保 由治	基礎ゼミナール	A0124	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0124.html	基礎科目群	0D01
2023	前期	水	4限	奥 真美	基礎ゼミナール	A0125	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_0D01_A0125.html	基礎科目群	0D01
2023	前期	水	4限	岡本 正吾	基礎ゼミナール	A0126	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_0D01_A0126.html	基礎科目群	0D01
2023	前期	月	5限	會田 雅樹	基礎ゼミナール	A0127	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0127.html	基礎科目群	0D01
2023	前期	月	5限	久保田 直行	基礎ゼミナール	A0128	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0128.html	基礎科目群	0D01
2023	前期	月	5限	筧 幸次	基礎ゼミナール	A0129	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0129.html	基礎科目群	0D01
2023	前期	火	5限	来間 弘展	基礎ゼミナール	A0130	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_0D01_A0130.html	基礎科目群	0D01
2023	前期	月	5限	松本 真之介	基礎ゼミナール	A0131	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0131.html	基礎科目群	0D01
2023	前期	月	5限	張 維珊	基礎ゼミナール	A0132	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D01_A0132.html	基礎科目群	0D01
2023	前期	火	5限	大貫 俊夫	基礎ゼミナール	A0133	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_0D01_A0133.html	基礎科目群	0D01
2023	前期	月	5限	NSE	実践英語IIc(831)(再履修)【日野】	A0134	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0134.html	言語科目	0D02
2023	前期	月	2限	NSE	実践英語IIc(801)(再履修)【南大沢】	A0135	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0135.html	言語科目	0D02
