開講年度	開講学期	曜日	時限	教員	科目名	授業番号	単位数	シラバスURL	科目区分	学部コード
2023	集中	他	0限	大久保 寛基	工業経営工学概論	I358	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/9/2023_05_I358.html	専門教育科目	05
2023	後期	火	5限	得平 茂樹	GeneralGenetics1（遺伝学概論１）	I360	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I360.html	専門教育科目	05
2023	後期	火	3限	下村 芳樹	ライフサイクル設計論	I362	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I362.html	専門教育科目	05
2023	集中	他	0限	本田 智	卒業研究	I363	5	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/9/2023_05_I363.html	専門教育科目	05
2023	集中	他	0限	本田 智	卒業研究ゼミナール	I364	4	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/9/2023_05_I364.html	専門教育科目	05
2023	後期	水	3限	川原 裕之	分子生物学実験（細胞生化学）	I367	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_05_I367.html	専門教育科目	05
2023	集中	他	0限	鐘ヶ江 健	教職実践演習（中・高）	I368	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/9/2023_05_I368.html	専門教育科目	05
2023	後期	木,木	5限,6限	田沼 肇	教職実践演習（中・高）	I369	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/4/2023_05_I369.html	専門教育科目	05
2023	後期	水	2限	角田 直人	熱力学第二	I374	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_05_I374.html	専門教育科目	05
2023	前期	金	1限	大浦 泰嗣	化学基礎測定II	I375	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_05_I375.html	専門教育科目	05
2023	後期	火	2限	上原 北斗	代数学Ｃ	I376	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I376.html	専門教育科目	05
2023	後期	火	3限	横田 佳之	幾何学Ｃ	I377	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I377.html	専門教育科目	05
2023	前期	金	4限	江副 祐一郎	物理数学基礎	I378	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_05_I378.html	専門教育科目	05
2023	集中	他	0限	安藤 香奈絵	SpecialLectureinBiology（生物学特別講義）	I380	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/9/2023_05_I380.html	専門教育科目	05
2023	前期	火	4限	大塚博巳	物理数学演習	I382	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I382.html	専門教育科目	05
2023	前期	火	4限	高橋 文	GeneralBiologyIB（生物学概説IＢ）	I383	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I383.html	専門教育科目	05
2023	後期	火	3限	春田 伸	GeneralBiologyIIB（生物学概説IIＢ）	I384	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I384.html	専門教育科目	05
2023	前期	火	3限	川原 裕之	GeneralBiochemistry1（生化学概論１）	I385	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I385.html	専門教育科目	05
2023	後期	水	3限	坂井 貴臣	GeneralBiochemistry2（生化学概論２）	I386	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_05_I386.html	専門教育科目	05
2023	前期	月	4限	WEITEMIER,AdamZachary	GeneralGenetics1（遺伝学概論１）	I387	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_05_I387.html	専門教育科目	05
